DeletionFlag,StreetName,Address,ZipCode,X_COORD,Y_COORD
,TRINITY PASS RD,79,06903,-73.55981884,41.16992478
,COUNTRY CLUB RD,94,06903,-73.57179951,41.16986613
,HIGH RIDGE RD,3043,06903,-73.56303549,41.17011387
,COVENTRY RD,91,06903,-73.57551574,41.16974362
,COUNTRY CLUB RD,29,06903,-73.57097293,41.16993332
,MAYAPPLE RD,25,06903,-73.56564315,41.1696648
,FAIRWAY DR,183,06903,-73.56944329,41.16981204
,HIGH RIDGE RD,3040,06903,-73.5641931,41.16973249
,TRINITY PASS RD,71,06903,-73.56037899,41.170029
,ROLLING RIDGE RD,21,06903,-73.57223856,41.16956343
,FAIRWAY DR,186,06903,-73.56817045,41.16983057
,COVENTRY RD,74,06903,-73.57429212,41.16967065
,COVENTRY RD,0,06903,-73.57592879,41.16955745
,TRINITY PASS RD,45,06903,-73.56154063,41.16983124
,MAYAPPLE RD,35,06903,-73.56632296,41.16969057
,MAYAPPLE RD,5,06903,-73.56460813,41.16923214
,FAIRWAY DR,190,06903,-73.56872533,41.16958701
,COUNTRY CLUB RD,79,06903,-73.57016624,41.16962923
,ROLLING RIDGE RD,35,06903,-73.57289133,41.16940796
,MAYAPPLE RD,65,06903,-73.56772823,41.16930726
,ROLLING RIDGE RD,93,06903,-73.57491925,41.16926559
,ROLLING RIDGE RD,51,06903,-73.5735044,41.16922018
,HIGH RIDGE RD,3020,06903,-73.5639601,41.16933023
,ROLLING RIDGE RD,67,06903,-73.57417787,41.1690522
,MAYAPPLE RD,45,06903,-73.56616394,41.16917131
,MAYAPPLE RD,37,06903,-73.56537858,41.16919475
,COUNTRY CLUB RD,74,06903,-73.57141251,41.16911537
,MAYAPPLE RD,109,06903,-73.56857231,41.16849849
,COUNTRY CLUB RD,71,06903,-73.56937507,41.16905139
,ROLLING RIDGE RD,22,06903,-73.5719992,41.16890648
,MAYAPPLE RD,85,06903,-73.5676475,41.16887416
,ROLLING RIDGE RD,92,06903,-73.57565328,41.16894984
,ROLLING RIDGE RD,40,06903,-73.57259524,41.16873649
,MAYAPPLE RD,55,06903,-73.56599113,41.16869789
,MAYAPPLE RD,75,06903,-73.56723718,41.1685797
,ROLLING RIDGE RD,46,06903,-73.57332386,41.16860157
,MAYAPPLE RD,10,06903,-73.56401352,41.16856872
,ROLLING RIDGE RD,84,06903,-73.57536189,41.16844004
,MAYAPPLE RD,32,06903,-73.56481364,41.16847056
,ROLLING RIDGE RD,66,06903,-73.5738645,41.16836163
,COUNTRY CLUB RD,50,06903,-73.57133926,41.16827616
,ROLLING RIDGE RD,80,06903,-73.57528977,41.16790467
,ROLLING RIDGE RD,72,06903,-73.57449808,41.16829173
,HIGH RIDGE RD,2993,06903,-73.562929,41.16846761
,MAYAPPLE RD,95,06903,-73.56775999,41.16816319
,RUSSET RD,275,06903,-73.56561187,41.16813118
,BOULDEROL RD,31,06903,-73.57243325,41.16804706
